Academic Year,University,Source of Salary Funding,Staff Grade,Mode of Employment,Staff No. (Headcount)
2009/10,City University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Full-time,2
2009/10,City University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Short-term,1
2009/10,City University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,24
2009/10,City University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,19
2009/10,City University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,81
2009/10,City University of Hong Kong,Partially Funded by General Funds,Senior Academic Staff,Full-time,1
2009/10,City University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Full-time,159
2009/10,City University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Part-time,5
2009/10,City University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Short-term,236
2009/10,City University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,249
2009/10,City University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,4
2009/10,City University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,301
2009/10,City University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,447
2009/10,City University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,6
2009/10,City University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,264
2009/10,City University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Full-time,413
2009/10,City University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Short-term,20
2009/10,City University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Full-time,220
2009/10,City University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Part-time,1
2009/10,City University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Short-term,12
2009/10,City University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Full-time,119
2009/10,City University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Part-time,3
2009/10,City University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Short-term,165
2009/10,City University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,13
2009/10,City University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,17
2009/10,City University of Hong Kong,Wholly self-financed,Junior Academic Staff,Full-time,1
2009/10,City University of Hong Kong,Wholly self-financed,Technical Research Staff,Full-time,67
2009/10,City University of Hong Kong,Wholly self-financed,Technical Research Staff,Part-time,1
2009/10,City University of Hong Kong,Wholly self-financed,Technical Research Staff,Short-term,67
2009/10,Hong Kong Baptist University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,2
2009/10,Hong Kong Baptist University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,1
2009/10,Hong Kong Baptist University,Partially Funded by General Funds,Technical Research Staff,Full-time,6
2009/10,Hong Kong Baptist University,Partially Funded by General Funds,Technical Research Staff,Part-time,2
2009/10,Hong Kong Baptist University,Partially Funded by General Funds,Technical Research Staff,Short-term,1
2009/10,Hong Kong Baptist University,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,95
2009/10,Hong Kong Baptist University,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,77
2009/10,Hong Kong Baptist University,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,9
2009/10,Hong Kong Baptist University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,149
2009/10,Hong Kong Baptist University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,3
2009/10,Hong Kong Baptist University,Wholly Funded by General Funds,Junior Academic Staff,Full-time,181
2009/10,Hong Kong Baptist University,Wholly Funded by General Funds,Senior Academic Staff,Full-time,130
2009/10,Hong Kong Baptist University,Wholly Funded by General Funds,Senior Academic Staff,Short-term,1
2009/10,Hong Kong Baptist University,Wholly Funded by General Funds,Technical Research Staff,Full-time,79
2009/10,Hong Kong Baptist University,Wholly Funded by General Funds,Technical Research Staff,Part-time,22
2009/10,Hong Kong Baptist University,Wholly Funded by General Funds,Technical Research Staff,Short-term,85
2009/10,Hong Kong Baptist University,Wholly self-financed,Academic Supporting Staff,Full-time,76
2009/10,Hong Kong Baptist University,Wholly self-financed,Academic Supporting Staff,Part-time,130
2009/10,Hong Kong Baptist University,Wholly self-financed,Academic Supporting Staff,Short-term,11
2009/10,Hong Kong Baptist University,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,140
2009/10,Hong Kong Baptist University,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,22
2009/10,Hong Kong Baptist University,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,3
2009/10,Hong Kong Baptist University,Wholly self-financed,Junior Academic Staff,Full-time,9
2009/10,Hong Kong Baptist University,Wholly self-financed,Senior Academic Staff,Full-time,2
2009/10,Hong Kong Baptist University,Wholly self-financed,Technical Research Staff,Full-time,69
2009/10,Hong Kong Baptist University,Wholly self-financed,Technical Research Staff,Part-time,5
2009/10,Hong Kong Baptist University,Wholly self-financed,Technical Research Staff,Short-term,34
2009/10,Lingnan University,Partially Funded by General Funds,Academic Supporting Staff,Full-time,2
2009/10,Lingnan University,Partially Funded by General Funds,Academic Supporting Staff,Short-term,3
2009/10,Lingnan University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,3
2009/10,Lingnan University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,4
2009/10,Lingnan University,Partially Funded by General Funds,Junior Academic Staff,Full-time,3
2009/10,Lingnan University,Partially Funded by General Funds,Junior Academic Staff,Part-time,1
2009/10,Lingnan University,Partially Funded by General Funds,Junior Academic Staff,Short-term,8
2009/10,Lingnan University,Partially Funded by General Funds,Senior Academic Staff,Part-time,1
2009/10,Lingnan University,Partially Funded by General Funds,Technical Research Staff,Full-time,4
2009/10,Lingnan University,Partially Funded by General Funds,Technical Research Staff,Part-time,2
2009/10,Lingnan University,Partially Funded by General Funds,Technical Research Staff,Short-term,28
2009/10,Lingnan University,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,38
2009/10,Lingnan University,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,14
2009/10,Lingnan University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,39
2009/10,Lingnan University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,1
2009/10,Lingnan University,Wholly Funded by General Funds,Junior Academic Staff,Full-time,81
2009/10,Lingnan University,Wholly Funded by General Funds,Junior Academic Staff,Part-time,1
2009/10,Lingnan University,Wholly Funded by General Funds,Junior Academic Staff,Short-term,7
2009/10,Lingnan University,Wholly Funded by General Funds,Senior Academic Staff,Full-time,39
2009/10,Lingnan University,Wholly Funded by General Funds,Senior Academic Staff,Part-time,2
2009/10,Lingnan University,Wholly Funded by General Funds,Senior Academic Staff,Short-term,1
2009/10,Lingnan University,Wholly Funded by General Funds,Technical Research Staff,Full-time,11
2009/10,Lingnan University,Wholly Funded by General Funds,Technical Research Staff,Short-term,2
2009/10,Lingnan University,Wholly self-financed,Academic Supporting Staff,Part-time,2
2009/10,Lingnan University,Wholly self-financed,Academic Supporting Staff,Short-term,3
2009/10,Lingnan University,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,11
2009/10,Lingnan University,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,7
2009/10,Lingnan University,Wholly self-financed,Junior Academic Staff,Part-time,1
2009/10,Lingnan University,Wholly self-financed,Junior Academic Staff,Short-term,37
2009/10,Lingnan University,Wholly self-financed,Technical Research Staff,Full-time,5
2009/10,Lingnan University,Wholly self-financed,Technical Research Staff,Short-term,5
2009/10,The Chinese University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Full-time,16
2009/10,The Chinese University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Short-term,4
2009/10,The Chinese University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,77
2009/10,The Chinese University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,3
2009/10,The Chinese University of Hong Kong,Partially Funded by General Funds,Junior Academic Staff,Full-time,46
2009/10,The Chinese University of Hong Kong,Partially Funded by General Funds,Junior Academic Staff,Short-term,10
2009/10,The Chinese University of Hong Kong,Partially Funded by General Funds,Senior Academic Staff,Full-time,9
2009/10,The Chinese University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Full-time,212
2009/10,The Chinese University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Part-time,10
2009/10,The Chinese University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Short-term,94
2009/10,The Chinese University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,325
2009/10,The Chinese University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,41
2009/10,The Chinese University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,67
2009/10,The Chinese University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,1136
2009/10,The Chinese University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,19
2009/10,The Chinese University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,11
2009/10,The Chinese University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Full-time,557
2009/10,The Chinese University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Part-time,26
2009/10,The Chinese University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Short-term,119
2009/10,The Chinese University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Full-time,291
2009/10,The Chinese University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Part-time,2
2009/10,The Chinese University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Short-term,6
2009/10,The Chinese University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Full-time,203
2009/10,The Chinese University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Part-time,2
2009/10,The Chinese University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Short-term,44
2009/10,The Chinese University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Full-time,69
2009/10,The Chinese University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Part-time,101
2009/10,The Chinese University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Short-term,309
2009/10,The Chinese University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,478
2009/10,The Chinese University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,41
2009/10,The Chinese University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,7
2009/10,The Chinese University of Hong Kong,Wholly self-financed,Junior Academic Staff,Full-time,34
2009/10,The Chinese University of Hong Kong,Wholly self-financed,Junior Academic Staff,Part-time,16
2009/10,The Chinese University of Hong Kong,Wholly self-financed,Junior Academic Staff,Short-term,107
2009/10,The Chinese University of Hong Kong,Wholly self-financed,Senior Academic Staff,Full-time,4
2009/10,The Chinese University of Hong Kong,Wholly self-financed,Technical Research Staff,Full-time,528
2009/10,The Chinese University of Hong Kong,Wholly self-financed,Technical Research Staff,Part-time,17
2009/10,The Chinese University of Hong Kong,Wholly self-financed,Technical Research Staff,Short-term,97
2009/10,The Education University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Full-time,9
2009/10,The Education University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Short-term,6
2009/10,The Education University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,7
2009/10,The Education University of Hong Kong,Partially Funded by General Funds,Junior Academic Staff,Full-time,8
2009/10,The Education University of Hong Kong,Partially Funded by General Funds,Senior Academic Staff,Full-time,4
2009/10,The Education University of Hong Kong,Partially Funded by General Funds,Senior Academic Staff,Part-time,1
2009/10,The Education University of Hong Kong,Partially Funded by General Funds,Senior Academic Staff,Short-term,1
2009/10,The Education University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Full-time,9
2009/10,The Education University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Part-time,1
2009/10,The Education University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Short-term,16
2009/10,The Education University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,119
2009/10,The Education University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,16
2009/10,The Education University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,2
2009/10,The Education University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,108
2009/10,The Education University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,2
2009/10,The Education University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Full-time,178
2009/10,The Education University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Full-time,91
2009/10,The Education University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Full-time,54
2009/10,The Education University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Part-time,10
2009/10,The Education University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Short-term,68
2009/10,The Education University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Full-time,19
2009/10,The Education University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Part-time,1
2009/10,The Education University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Short-term,20
2009/10,The Education University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,52
2009/10,The Education University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,1
2009/10,The Education University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,8
2009/10,The Education University of Hong Kong,Wholly self-financed,Junior Academic Staff,Full-time,1
2009/10,The Education University of Hong Kong,Wholly self-financed,Senior Academic Staff,Short-term,1
2009/10,The Education University of Hong Kong,Wholly self-financed,Technical Research Staff,Full-time,44
2009/10,The Education University of Hong Kong,Wholly self-financed,Technical Research Staff,Part-time,3
2009/10,The Education University of Hong Kong,Wholly self-financed,Technical Research Staff,Short-term,32
2009/10,The Hong Kong Polytechnic University,Partially Funded by General Funds,Academic Supporting Staff,Full-time,5
2009/10,The Hong Kong Polytechnic University,Partially Funded by General Funds,Academic Supporting Staff,Short-term,1
2009/10,The Hong Kong Polytechnic University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,28
2009/10,The Hong Kong Polytechnic University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,2
2009/10,The Hong Kong Polytechnic University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,10
2009/10,The Hong Kong Polytechnic University,Partially Funded by General Funds,Junior Academic Staff,Full-time,10
2009/10,The Hong Kong Polytechnic University,Partially Funded by General Funds,Junior Academic Staff,Part-time,2
2009/10,The Hong Kong Polytechnic University,Partially Funded by General Funds,Junior Academic Staff,Short-term,13
2009/10,The Hong Kong Polytechnic University,Partially Funded by General Funds,Senior Academic Staff,Full-time,18
2009/10,The Hong Kong Polytechnic University,Partially Funded by General Funds,Senior Academic Staff,Short-term,1
